matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,exec_time
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.311852
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.311852
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.323057
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.309944
bayer03.mtx,6747,6747,56196,-O3,2,1,static,0.308990
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.608849
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.239061
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.251936
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.214027
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.237869
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.185894
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.055002
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.068115
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.075029
bayer03.mtx,6747,6747,56196,-O3,2,1,dynamic,1.067162
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.157118
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.051975
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.045776
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.046015
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.046015
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.041962
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.043154
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.041008
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.041962
bayer03.mtx,6747,6747,56196,-O3,2,1,guided,0.067949
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.287056
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.159979
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.132799
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.133991
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.129223
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.128984
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.130892
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.128031
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.144005
bayer03.mtx,6747,6747,56196,-O3,2,10,static,0.128984
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.446081
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.202179
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.176907
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.176191
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.169992
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.164986
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.166893
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.159979
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.153065
bayer03.mtx,6747,6747,56196,-O3,2,10,dynamic,0.162840
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.180006
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.061989
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.103951
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.084162
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.056982
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.074148
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.056028
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.053883
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.054121
bayer03.mtx,6747,6747,56196,-O3,2,10,guided,0.094891
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.241041
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.113010
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.102997
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.126839
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.102043
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.101089
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.100851
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.101089
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.100136
bayer03.mtx,6747,6747,56196,-O3,2,100,static,0.099897
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.199080
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.088930
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.077009
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.078917
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.076056
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.058174
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.057936
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.055075
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.054836
bayer03.mtx,6747,6747,56196,-O3,2,100,dynamic,0.055075
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.127792
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.105858
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.085115
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.097036
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.056028
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.092983
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.090837
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.090837
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.056028
bayer03.mtx,6747,6747,56196,-O3,2,100,guided,0.091076
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.175953
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.101089
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.092983
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.093222
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.090837
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.093937
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.091076
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.106812
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.088930
bayer03.mtx,6747,6747,56196,-O3,2,1000,static,0.090122
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.131130
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.074863
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.063896
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.056982
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.070095
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.066996
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.061989
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.064135
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.074863
bayer03.mtx,6747,6747,56196,-O3,2,1000,dynamic,0.053883
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.193834
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.105858
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.090122
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.097036
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.092983
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.056982
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.095129
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.056982
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.056028
bayer03.mtx,6747,6747,56196,-O3,2,1000,guided,0.056028
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.175953
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.057936
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.055790
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.053883
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.054121
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.053883
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.055075
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.061989
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.060081
bayer03.mtx,6747,6747,56196,-O3,2,10000,static,0.056028
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.174046
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.059128
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.231981
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.131130
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.053883
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.054121
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.054836
bayer03.mtx,6747,6747,56196,-O3,2,10000,dynamic,0.055075
