matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
cage13.mtx,445315,445315,7479343,-O3,2,10000,static,C-N,7048847848,96420089,475517,332524
cage13.mtx,445315,445315,7479343,-O3,2,10000,dynamic,C-N,7048770796,96361131,815076,678198
cage13.mtx,445315,445315,7479343,-O3,2,10000,guided,C-N,7048758339,95441248,469564,325659
cage13.mtx,445315,445315,7479343,-O3,4,1,static,C-N,7060498015,100871805,1354074,1124967
cage13.mtx,445315,445315,7479343,-O3,4,1,dynamic,C-N,7056930943,102420872,2240699,1973460
cage13.mtx,445315,445315,7479343,-O3,4,1,guided,C-N,7049358900,96937843,988956,851332
cage13.mtx,445315,445315,7479343,-O3,4,10,static,C-N,7050506349,97359807,1343209,1070378
cage13.mtx,445315,445315,7479343,-O3,4,10,dynamic,C-N,7050115765,98529307,1617166,1358669
cage13.mtx,445315,445315,7479343,-O3,4,10,guided,C-N,7049359265,96654362,949051,816169
cage13.mtx,445315,445315,7479343,-O3,4,100,static,C-N,7049508847,97680977,754549,564373
cage13.mtx,445315,445315,7479343,-O3,4,100,dynamic,C-N,7049433605,97054462,1025151,828815
cage13.mtx,445315,445315,7479343,-O3,4,100,guided,C-N,7049359251,96423476,843602,696441
cage13.mtx,445315,445315,7479343,-O3,4,1000,static,C-N,7049469810,96697003,611955,471418
cage13.mtx,445315,445315,7479343,-O3,4,1000,dynamic,C-N,7049366111,96062932,613202,457294
cage13.mtx,445315,445315,7479343,-O3,4,1000,guided,C-N,7049361713,95717706,649261,517610
cage13.mtx,445315,445315,7479343,-O3,4,10000,static,C-N,7049698573,95489453,480113,359683
cage13.mtx,445315,445315,7479343,-O3,4,10000,dynamic,C-N,7049482138,96868189,942748,820298
cage13.mtx,445315,445315,7479343,-O3,4,10000,guided,C-N,7049388721,96382767,491619,357385
cage13.mtx,445315,445315,7479343,-O3,8,1,static,C-N,7061977994,102701513,1932221,1020073
cage13.mtx,445315,445315,7479343,-O3,8,1,dynamic,C-N,7058138422,104089238,2449105,1260665
cage13.mtx,445315,445315,7479343,-O3,8,1,guided,C-N,7050576652,97032170,992068,659557
cage13.mtx,445315,445315,7479343,-O3,8,10,static,C-N,7052400809,98504182,1211413,655702
cage13.mtx,445315,445315,7479343,-O3,8,10,dynamic,C-N,7051325818,98976062,2011793,1247933
cage13.mtx,445315,445315,7479343,-O3,8,10,guided,C-N,7050616644,97130995,1018787,657766
cage13.mtx,445315,445315,7479343,-O3,8,100,static,C-N,7051310110,97477696,833859,501531
cage13.mtx,445315,445315,7479343,-O3,8,100,dynamic,C-N,7050644871,96470328,980507,634134
cage13.mtx,445315,445315,7479343,-O3,8,100,guided,C-N,7050589041,96636790,475810,338048
cage13.mtx,445315,445315,7479343,-O3,8,1000,static,C-N,7051275121,96514093,524426,365903
cage13.mtx,445315,445315,7479343,-O3,8,1000,dynamic,C-N,7050623715,96620501,572255,408254
cage13.mtx,445315,445315,7479343,-O3,8,1000,guided,C-N,7050684234,95452047,498197,355900
cage13.mtx,445315,445315,7479343,-O3,8,10000,static,C-N,7052347277,96862705,1450662,951985
cage13.mtx,445315,445315,7479343,-O3,8,10000,dynamic,C-N,7050979703,96935336,758046,528363
cage13.mtx,445315,445315,7479343,-O3,8,10000,guided,C-N,7051769628,97576650,1460248,934665
cage13.mtx,445315,445315,7479343,-O3,16,1,static,C-N,7064779189,105160452,3795183,1911229
cage13.mtx,445315,445315,7479343,-O3,16,1,dynamic,C-N,7060597683,105376721,4396525,1784385
cage13.mtx,445315,445315,7479343,-O3,16,1,guided,C-N,7053047898,96605249,1209790,681884
cage13.mtx,445315,445315,7479343,-O3,16,10,static,C-N,7054620557,97674807,1537447,737210
cage13.mtx,445315,445315,7479343,-O3,16,10,dynamic,C-N,7053797054,99324670,2320970,1172074
cage13.mtx,445315,445315,7479343,-O3,16,10,guided,C-N,7053036469,96671005,843904,537325
cage13.mtx,445315,445315,7479343,-O3,16,100,static,C-N,7054368050,96242225,750003,390886
cage13.mtx,445315,445315,7479343,-O3,16,100,dynamic,C-N,7053143535,98013260,1877772,918928
cage13.mtx,445315,445315,7479343,-O3,16,100,guided,C-N,7053027085,96491432,496322,353536
