matrix_name,rows,cols,nz,compiler_option,thread_option,chunk_size_option,scheduling_option,perf_start,L1_loads,L1_misses,LLC_loads,LLC_misses
bayer03.mtx,6747,6747,56196,-O3,64,10,static,C-N,44376251,459052,25333,4527
bayer03.mtx,6747,6747,56196,-O3,64,10,dynamic,C-N,44332984,457328,23496,5118
bayer03.mtx,6747,6747,56196,-O3,64,10,guided,C-N,60429857,454646,20639,3711
bayer03.mtx,6747,6747,56196,-O3,64,100,static,C-N,44383311,444514,16657,2870
bayer03.mtx,6747,6747,56196,-O3,64,100,dynamic,C-N,44435524,446032,16838,2618
bayer03.mtx,6747,6747,56196,-O3,64,100,guided,C-N,44245865,448735,18669,3029
bayer03.mtx,6747,6747,56196,-O3,64,1000,static,C-N,44430870,442475,14320,1773
bayer03.mtx,6747,6747,56196,-O3,64,1000,dynamic,C-N,44347625,443095,13735,1769
bayer03.mtx,6747,6747,56196,-O3,64,1000,guided,C-N,44289662,442379,14255,1513
bayer03.mtx,6747,6747,56196,-O3,64,10000,static,C-N,44385542,441764,13925,1646
bayer03.mtx,6747,6747,56196,-O3,64,10000,dynamic,C-N,44510358,443341,14168,1664
bayer03.mtx,6747,6747,56196,-O3,64,10000,guided,C-N,44258789,443121,15061,1458
cage13.mtx,445315,445315,7479343,-O3,1,1,static,C-N,7039889090,97732045,840956,121548
cage13.mtx,445315,445315,7479343,-O3,1,1,dynamic,C-N,7047904744,97724023,802647,120159
cage13.mtx,445315,445315,7479343,-O3,1,1,guided,C-N,7039889401,97703179,818937,125406
cage13.mtx,445315,445315,7479343,-O3,1,10,static,C-N,7039889089,97707281,825899,120178
cage13.mtx,445315,445315,7479343,-O3,1,10,dynamic,C-N,7040690645,97664731,819893,123215
cage13.mtx,445315,445315,7479343,-O3,1,10,guided,C-N,7039889408,97731528,834233,127850
cage13.mtx,445315,445315,7479343,-O3,1,100,static,C-N,7039889098,97430530,821584,129193
cage13.mtx,445315,445315,7479343,-O3,1,100,dynamic,C-N,7039969242,97785566,831210,119909
cage13.mtx,445315,445315,7479343,-O3,1,100,guided,C-N,7039889411,97580814,834054,125320
cage13.mtx,445315,445315,7479343,-O3,1,1000,static,C-N,7039889093,97446396,820129,125682
cage13.mtx,445315,445315,7479343,-O3,1,1000,dynamic,C-N,7039897098,97732791,819993,120102
cage13.mtx,445315,445315,7479343,-O3,1,1000,guided,C-N,7039889412,97624406,833551,127583
cage13.mtx,445315,445315,7479343,-O3,1,10000,static,C-N,7039889092,97622196,830876,125985
cage13.mtx,445315,445315,7479343,-O3,1,10000,dynamic,C-N,7039889882,97613668,831881,130489
cage13.mtx,445315,445315,7479343,-O3,1,10000,guided,C-N,7039889374,97684854,826728,123216
cage13.mtx,445315,445315,7479343,-O3,2,1,static,C-N,7051058317,99745965,1002517,145767
cage13.mtx,445315,445315,7479343,-O3,2,1,dynamic,C-N,7047943165,100425095,1132012,123975
cage13.mtx,445315,445315,7479343,-O3,2,1,guided,C-N,7039923335,97740130,831603,124883
cage13.mtx,445315,445315,7479343,-O3,2,10,static,C-N,7041032021,98449838,1003955,165173
cage13.mtx,445315,445315,7479343,-O3,2,10,dynamic,C-N,7040720486,98345373,998524,149591
cage13.mtx,445315,445315,7479343,-O3,2,10,guided,C-N,7039921883,97717374,832808,123700
cage13.mtx,445315,445315,7479343,-O3,2,100,static,C-N,7040033674,97908944,884444,144912
cage13.mtx,445315,445315,7479343,-O3,2,100,dynamic,C-N,7039998557,97945443,898340,135303
cage13.mtx,445315,445315,7479343,-O3,2,100,guided,C-N,7039922433,97672159,830865,131765
cage13.mtx,445315,445315,7479343,-O3,2,1000,static,C-N,7039934913,97688266,852958,126746
cage13.mtx,445315,445315,7479343,-O3,2,1000,dynamic,C-N,7039927596,97736954,852297,123350
cage13.mtx,445315,445315,7479343,-O3,2,1000,guided,C-N,7039922000,97527130,836133,123167
cage13.mtx,445315,445315,7479343,-O3,2,10000,static,C-N,7039925495,97665312,825070,120383
cage13.mtx,445315,445315,7479343,-O3,2,10000,dynamic,C-N,7039924004,97773203,835971,121860
cage13.mtx,445315,445315,7479343,-O3,2,10000,guided,C-N,7039924913,97412441,825509,127683
cage13.mtx,445315,445315,7479343,-O3,4,1,static,C-N,7051118746,101613653,1553079,223353
cage13.mtx,445315,445315,7479343,-O3,4,1,dynamic,C-N,7048013815,102232578,1555452,132010
cage13.mtx,445315,445315,7479343,-O3,4,1,guided,C-N,7040005926,97763181,832114,121471
cage13.mtx,445315,445315,7479343,-O3,4,10,static,C-N,7041146263,98624205,1184655,207964
cage13.mtx,445315,445315,7479343,-O3,4,10,dynamic,C-N,7040789419,98723881,1177649,223910
cage13.mtx,445315,445315,7479343,-O3,4,10,guided,C-N,7039988831,97621146,832578,127585
cage13.mtx,445315,445315,7479343,-O3,4,100,static,C-N,7040211233,97958876,970170,144295
cage13.mtx,445315,445315,7479343,-O3,4,100,dynamic,C-N,7040055411,97839749,960068,138498
cage13.mtx,445315,445315,7479343,-O3,4,100,guided,C-N,7039994374,97552005,820581,123446
cage13.mtx,445315,445315,7479343,-O3,4,1000,static,C-N,7039987257,97835499,871839,124117
cage13.mtx,445315,445315,7479343,-O3,4,1000,dynamic,C-N,7039993561,97577589,864268,135415
cage13.mtx,445315,445315,7479343,-O3,4,1000,guided,C-N,7039998764,97595129,836390,123956
cage13.mtx,445315,445315,7479343,-O3,4,10000,static,C-N,7039977697,97688810,836873,122504
cage13.mtx,445315,445315,7479343,-O3,4,10000,dynamic,C-N,7039991425,97792966,838065,125981
cage13.mtx,445315,445315,7479343,-O3,4,10000,guided,C-N,7040005567,97659035,834822,128584
cage13.mtx,445315,445315,7479343,-O3,8,1,static,C-N,7051276018,103655812,2217064,277755
cage13.mtx,445315,445315,7479343,-O3,8,1,dynamic,C-N,7048136734,103676802,2378307,127736
cage13.mtx,445315,445315,7479343,-O3,8,1,guided,C-N,7040150413,97750471,852845,120493
cage13.mtx,445315,445315,7479343,-O3,8,10,static,C-N,7041340725,98765381,1457809,246566
cage13.mtx,445315,445315,7479343,-O3,8,10,dynamic,C-N,7040933904,99086398,1467467,275885
cage13.mtx,445315,445315,7479343,-O3,8,10,guided,C-N,7040182479,97819318,839617,120981
cage13.mtx,445315,445315,7479343,-O3,8,100,static,C-N,7040355741,97946283,1014344,145418
cage13.mtx,445315,445315,7479343,-O3,8,100,dynamic,C-N,7040192951,98201652,1019593,153083
cage13.mtx,445315,445315,7479343,-O3,8,100,guided,C-N,7040131841,97778241,850375,119873
cage13.mtx,445315,445315,7479343,-O3,8,1000,static,C-N,7040134214,97620275,873296,129788
cage13.mtx,445315,445315,7479343,-O3,8,1000,dynamic,C-N,7040137828,97703870,884219,122077
cage13.mtx,445315,445315,7479343,-O3,8,1000,guided,C-N,7040148239,97713098,856869,121871
cage13.mtx,445315,445315,7479343,-O3,8,10000,static,C-N,7040123482,97940124,834929,124984
cage13.mtx,445315,445315,7479343,-O3,8,10000,dynamic,C-N,7040136730,97398098,827418,127301
cage13.mtx,445315,445315,7479343,-O3,8,10000,guided,C-N,7040173915,97775315,827195,127501
cage13.mtx,445315,445315,7479343,-O3,16,1,static,C-N,7051668786,104145489,2987233,408649
cage13.mtx,445315,445315,7479343,-O3,16,1,dynamic,C-N,7048486791,104742919,3414669,146153
cage13.mtx,445315,445315,7479343,-O3,16,1,guided,C-N,7040449971,97471057,853368,124225
cage13.mtx,445315,445315,7479343,-O3,16,10,static,C-N,7041601299,99128845,1806201,257764
cage13.mtx,445315,445315,7479343,-O3,16,10,dynamic,C-N,7041337025,99005448,1734676,293397
cage13.mtx,445315,445315,7479343,-O3,16,10,guided,C-N,7040774034,97808615,847572,124249
cage13.mtx,445315,445315,7479343,-O3,16,100,static,C-N,7040465356,97828977,1076451,146463
cage13.mtx,445315,445315,7479343,-O3,16,100,dynamic,C-N,7040595976,98137603,1075568,157183
cage13.mtx,445315,445315,7479343,-O3,16,100,guided,C-N,7040659655,97888741,845479,124139
cage13.mtx,445315,445315,7479343,-O3,16,1000,static,C-N,7040382907,97819847,894775,125620
cage13.mtx,445315,445315,7479343,-O3,16,1000,dynamic,C-N,7040408136,97727868,907602,135452
cage13.mtx,445315,445315,7479343,-O3,16,1000,guided,C-N,7040494736,97691519,866743,134151
cage13.mtx,445315,445315,7479343,-O3,16,10000,static,C-N,7040459658,97585787,853789,125707
cage13.mtx,445315,445315,7479343,-O3,16,10000,dynamic,C-N,7040507940,97566839,852622,130811
cage13.mtx,445315,445315,7479343,-O3,16,10000,guided,C-N,7040529250,97703884,842342,123684
cage13.mtx,445315,445315,7479343,-O3,32,1,static,C-N,7052512464,104808334,4030720,768300
cage13.mtx,445315,445315,7479343,-O3,32,1,dynamic,C-N,7050096456,105906009,4804277,560916
cage13.mtx,445315,445315,7479343,-O3,32,1,guided,C-N,7041622470,97554699,880934,132019
cage13.mtx,445315,445315,7479343,-O3,32,10,static,C-N,7043056994,99378918,2085644,365478
cage13.mtx,445315,445315,7479343,-O3,32,10,dynamic,C-N,7042066440,99290472,1978670,350201
cage13.mtx,445315,445315,7479343,-O3,32,10,guided,C-N,7041814204,97914228,883132,133093
cage13.mtx,445315,445315,7479343,-O3,32,100,static,C-N,7042138027,98074283,1134965,152971
cage13.mtx,445315,445315,7479343,-O3,32,100,dynamic,C-N,7041907957,98008654,1154963,168165
cage13.mtx,445315,445315,7479343,-O3,32,100,guided,C-N,7041595328,97733495,865917,136826
cage13.mtx,445315,445315,7479343,-O3,32,1000,static,C-N,7041583520,97806445,932951,134975
cage13.mtx,445315,445315,7479343,-O3,32,1000,dynamic,C-N,7041478016,97778734,923138,135707
cage13.mtx,445315,445315,7479343,-O3,32,1000,guided,C-N,7041766293,97502980,875991,133103
cage13.mtx,445315,445315,7479343,-O3,32,10000,static,C-N,7042539108,97778991,847888,138900
cage13.mtx,445315,445315,7479343,-O3,32,10000,dynamic,C-N,7042087366,97546098,847976,136471
cage13.mtx,445315,445315,7479343,-O3,32,10000,guided,C-N,7042016816,97705185,869003,133934
cage13.mtx,445315,445315,7479343,-O3,64,1,static,C-N,7067099828,105409143,5099630,905138
cage13.mtx,445315,445315,7479343,-O3,64,1,dynamic,C-N,7052220921,106559649,6089368,1021528
